,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.
LR.LIME,2,7,8,7.65625,9,10
RF.LIME,3,6,7,6.865625,8,10
C5.0.LIME,2,5,7,6.640127389,8,10
avNNet.LIME,2,4,5,5.232227488,6,10
GBM.LIME,2,6,7,6.7125,8,10
xgbTree.LIME,4,7,8,8.016835017,9,10
LR.LIME-HPO,2,9,10,9.053125,10,10
RF.LIME-HPO,4,8,9,8.66875,10,10
C5.0.LIME-HPO,2,8,9,8.789808917,10,10
avNNet.LIME-HPO,1,6,8,7.549763033,9,10
GBM.LIME-HPO,2,9,10,9.15625,10,10
xgbTree.LIME-HPO,4,9,10,9.313131313,10,10
LR.BreakDown,3,8,9,8.928125,10,10
RF.BreakDown,2,8,9,8.671875,10,10
C5.0.BreakDown,1,6,7,7.394904459,9,10
avNNet.BreakDown,1,5,7,6.63507109,8,10
GBM.BreakDown,2,8,10,9.009375,10,10
xgbTree.BreakDown,1,9,10,9.313131313,10,10
