,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.
"xgbTree.Model
Construction",2.998128617,29.76159322,38.56350899,35.80377444,43.64288598,58.96863389
"GBM.Model
Construction",5.60392499,8.895020068,11.19359744,12.81562725,14.07044125,32.62855625
"avNNet.Model
Construction",1.019033146,1.411874346,1.797363277,11.44800744,5.543356231,55.30089092
"C5.0.Model
Construction",1.172793778,10.00235707,13.24559987,15.23661347,20.0431127,48.65303206
"RF.Model
Construction",1.492517344,10.96085227,17.99909127,19.45207613,26.59612072,46.13726878
"LR.Model
Construction",0.254927158,0.262799263,0.271840215,0.279634528,0.280484855,0.377472162
"xgbTree.Global
Explanation",0.208086014,0.216101706,0.232571006,0.236161709,0.254063427,0.271158934
"GBM.Global
Explanation",0.023783684,0.025707781,0.028054237,0.03009969,0.031309366,0.066257715
"avNNet.Global
Explanation",0.25165391,0.323774874,0.328169823,0.321694985,0.330941558,0.338365555
"C5.0.Global
Explanation",0.131603718,0.14121151,0.146028161,0.146013685,0.151708901,0.164491653
"RF.Global
Explanation",0.000275373,0.00029546,0.000302672,0.000311352,0.000308037,0.000631094
"LR.Global
Explanation",0.132537127,0.196770728,0.300903678,0.473921597,0.544816852,2.353611469
"xgbTree.Instance
Explanation
(LIME)",0.094244242,0.107249558,0.114257574,0.115323454,0.123358488,0.144829988
"GBM.Instance
Explanation
(LIME)",0.051741123,0.063645899,0.06993103,0.069014572,0.07510668,0.086007833
"avNNet.Instance
Explanation
(LIME)",0.352527618,0.646943867,0.705997944,0.688487694,0.755095661,0.843450546
"C5.0.Instance
Explanation
(LIME)",0.226281404,0.380776823,0.460039735,0.456590429,0.49305445,0.831109762
"RF.Instance
Explanation
(LIME)",0.104730606,0.133277953,0.143952847,0.145901792,0.160918653,0.182981491
"LR.Instance
Explanation
(LIME)",0.067398548,0.080017328,0.086618185,0.085313506,0.089948654,0.095768929
"xgbTree.Instance
Explanation
(LIME-HPO)",5.646933794,6.4865309,7.035212517,6.986573339,7.34958601,8.51749897
"GBM.Instance
Explanation
(LIME-HPO)",3.193313122,3.969668627,4.203713059,4.168087356,4.399026632,4.76114583
"avNNet.Instance
Explanation
(LIME-HPO)",21.38658428,35.37892169,40.52715802,39.7552677,43.85353571,51.54558873
"C5.0.Instance
Explanation
(LIME-HPO)",14.32461548,21.64556867,25.50982237,25.16286469,29.18126118,39.32032728
"RF.Instance
Explanation
(LIME-HPO)",5.927624702,7.817459822,8.811698198,8.685591854,9.502551913,11.42444563
"LR.Instance
Explanation
(LIME-HPO)",4.302674294,5.028297126,5.265625477,5.260527007,5.541005611,6.048430443
"xgbTree.Instance
Explanation
(BreakDown)",2.273130655,3.146676362,5.065299392,5.601357698,6.008549392,17.54150486
"GBM.Instance
Explanation
(BreakDown)",0.874695778,1.098523617,1.635986805,1.700912334,1.881398976,4.293087482
"avNNet.Instance
Explanation
(BreakDown)",1.084551136,1.593076427,2.851886177,18.47355523,43.08987421,55.50232434
"C5.0.Instance
Explanation
(BreakDown)",1.173475436,12.68766326,25.05984259,25.14650409,35.84160012,55.70941925
"RF.Instance
Explanation
(BreakDown)",1.701491833,5.36232245,8.29470396,10.97475956,11.83805591,42.9798131
"LR.Instance
Explanation
(BreakDown)",0.652064323,0.842705965,1.20683217,1.255534954,1.407108068,2.916365623
