,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.
LIME.LR,0,15,19,18.17789072,22,28
LIME-HPO.LR,4,20,22,21.46310433,23,28
BreakDown.LR,5,19,22,20.96958175,24,28
LIME.RF,1,15,19,18.37484117,22,28
LIME-HPO.RF,3,20,22,21.30368488,24,28
BreakDown.RF,1,19,22,20.7617237,24,28
LIME.C5.0,2,18,21,19.91497462,23,28
LIME-HPO.C5.0,0,20,22,21.87944162,24,28
BreakDown.C5.0,1,21,23,21.8086185,24,28
LIME.avNNet,0,12,17,15.92977528,21,27
LIME-HPO.avNNet,0,17,21,19.09129213,23,28
BreakDown.avNNet,0,15,20,17.83473389,22,28
LIME.GBM,0,19,21,20.40609137,23,28
LIME-HPO.GBM,0,21,23,22.49873096,24,28
BreakDown.GBM,0,19,22,20.89100127,23,28
LIME.xgbTree,0,17,21,19.25253807,23,28
LIME-HPO.xgbTree,0,20,22,21.5393401,24,28
BreakDown.xgbTree,0,11,17,15.05323194,21,28
